Vehicle_ID,Risk_Score
motorcycle0,1.2142857142857142
motorcycle1,0.05921052631578947
motorcycle10,0.08083832335329341
motorcycle100,1.2049180327868851
motorcycle101,0.4880952380952381
motorcycle102,0.051903114186851215
motorcycle103,0.5669014084507042
motorcycle104,0.12015503875968991
motorcycle105,0.0
motorcycle106,0.8859649122807017
motorcycle107,1.0595238095238095
motorcycle108,0.0975609756097561
motorcycle109,0.687719298245614
motorcycle11,0.08088235294117647
motorcycle110,0.3390804597701149
motorcycle111,0.1398305084745763
motorcycle112,1.065217391304348
motorcycle113,0.1171875
motorcycle114,0.8493975903614458
motorcycle115,1.365217391304348
motorcycle116,0.1016949152542373
motorcycle117,0.1062992125984252
motorcycle118,0.12623762376237624
motorcycle119,0.09090909090909091
motorcycle12,0.025423728813559324
motorcycle120,0.35964912280701755
motorcycle121,1.15
motorcycle122,0.6111111111111112
motorcycle123,0.9751773049645389
motorcycle124,1.3208955223880596
motorcycle125,1.187878787878788
motorcycle126,0.04054054054054054
motorcycle127,1.0048076923076923
motorcycle128,1.1318181818181818
motorcycle129,1.0735294117647058
motorcycle13,0.14851485148514854
motorcycle130,1.2573529411764706
motorcycle131,0.17699115044247787
motorcycle132,0.7446808510638298
motorcycle133,0.275
motorcycle134,0.3226744186046512
motorcycle135,1.2532467532467533
motorcycle136,0.02631578947368421
motorcycle137,0.12569832402234637
motorcycle138,0.10443037974683544
motorcycle139,0.33211678832116787
motorcycle14,0.15447154471544716
motorcycle140,0.02830188679245283
motorcycle141,1.4147286821705427
motorcycle142,0.3828125
motorcycle143,0.75
motorcycle144,0.0
motorcycle145,0.3632075471698113
motorcycle146,0.13333333333333336
motorcycle147,0.858139534883721
motorcycle148,0.03260869565217391
motorcycle149,0.07547169811320756
motorcycle15,1.5916666666666668
motorcycle150,0.11249999999999999
motorcycle151,0.07051282051282051
motorcycle152,0.35534591194968557
motorcycle153,0.16810344827586207
motorcycle154,0.17857142857142855
motorcycle155,0.12096774193548387
motorcycle156,0.25
motorcycle157,1.8066298342541438
motorcycle158,1.0346534653465347
motorcycle159,0.5584415584415584
motorcycle16,0.2928571428571428
motorcycle160,0.5129032258064516
motorcycle161,0.1607142857142857
motorcycle162,0.98
motorcycle163,0.48706896551724144
motorcycle164,1.1962962962962962
motorcycle165,0.9148936170212766
motorcycle166,0.10483870967741934
motorcycle167,0.5989010989010989
motorcycle168,0.10344827586206896
motorcycle169,0.12015503875968991
motorcycle17,0.125
motorcycle170,0.40625
motorcycle171,0.3764705882352941
motorcycle172,0.058823529411764705
motorcycle173,0.8359375
motorcycle174,1.2592592592592593
motorcycle175,0.19329073482428116
motorcycle176,0.045454545454545456
motorcycle177,0.2606060606060606
motorcycle178,0.7957746478873239
motorcycle179,0.909375
motorcycle18,0.04746835443037975
motorcycle180,0.32191780821917804
motorcycle181,0.09813084112149531
motorcycle182,0.3742690058479532
motorcycle183,0.8333333333333334
motorcycle184,0.23414634146341462
motorcycle185,1.1293103448275863
motorcycle186,0.6312292358803987
motorcycle187,1.4951219512195122
motorcycle188,0.8636363636363636
motorcycle189,0.14925373134328357
motorcycle19,0.14
motorcycle190,0.5648148148148148
motorcycle191,0.060402684563758385
motorcycle192,0.0
motorcycle193,1.2162162162162162
motorcycle194,1.423529411764706
motorcycle195,1.2971014492753623
motorcycle196,1.5495049504950495
motorcycle197,0.15897435897435896
motorcycle198,0.125
motorcycle199,0.27464788732394363
motorcycle2,0.5144230769230769
motorcycle20,0.052941176470588235
motorcycle200,0.4285714285714286
motorcycle201,0.0
motorcycle202,0.47727272727272724
motorcycle203,1.1863636363636363
motorcycle204,0.08163265306122448
motorcycle205,0.125
motorcycle206,0.4
motorcycle207,0.053030303030303025
motorcycle208,0.3920454545454546
motorcycle209,0.5632911392405063
motorcycle21,0.09259259259259259
motorcycle210,1.3157894736842106
motorcycle211,0.1380952380952381
motorcycle212,0.07853403141361257
motorcycle213,0.46304347826086956
motorcycle214,0.07228915662650603
motorcycle215,0.5086206896551724
motorcycle216,0.3468468468468468
motorcycle217,0.15267175572519084
motorcycle218,0.26732673267326734
motorcycle219,0.9745762711864407
motorcycle22,0.09774436090225563
motorcycle220,0.03409090909090909
motorcycle221,1.0899280575539567
motorcycle222,0.10964912280701754
motorcycle223,1.197986577181208
